2022-08-29 16:05:42 status unpacked debconf:all 1.5.73
2022-08-29 16:05:42 install debianutils:arm64 <none> 4.9.1
2022-08-29 16:05:42 status half-installed debianutils:arm64 4.9.1
2022-08-29 16:05:42 status unpacked debianutils:arm64 4.9.1
2022-08-29 16:05:42 install diffutils:arm64 <none> 1:3.7-3
2022-08-29 16:05:42 status half-installed diffutils:arm64 1:3.7-3
2022-08-29 16:05:42 status unpacked diffutils:arm64 1:3.7-3
2022-08-29 16:05:42 upgrade dpkg:arm64 1.19.7ubuntu3 1.19.7ubuntu3
2022-08-29 16:05:42 status half-configured dpkg:arm64 1.19.7ubuntu3
2022-08-29 16:05:42 status unpacked dpkg:arm64 1.19.7ubuntu3
2022-08-29 16:05:42 status half-installed dpkg:arm64 1.19.7ubuntu3
2022-08-29 16:05:42 status unpacked dpkg:arm64 1.19.7ubuntu3
2022-08-29 16:05:42 install e2fsprogs:arm64 <none> 1.45.5-2ubuntu1
2022-08-29 16:05:42 status half-installed e2fsprogs:arm64 1.45.5-2ubuntu1
2022-08-29 16:05:42 status unpacked e2fsprogs:arm64 1.45.5-2ubuntu1
2022-08-29 16:05:42 install fdisk:arm64 <none> 2.34-0.1ubuntu9
2022-08-29 16:05:42 status half-installed fdisk:arm64 2.34-0.1ubuntu9
2022-08-29 16:05:42 status unpacked fdisk:arm64 2.34-0.1ubuntu9
2022-08-29 16:05:42 install findutils:arm64 <none> 4.7.0-1ubuntu1
2022-08-29 16:05:42 status half-installed findutils:arm64 4.7.0-1ubuntu1
2022-08-29 16:05:42 status unpacked findutils:arm64 4.7.0-1ubuntu1
2022-08-29 16:05:42 install gcc-10-base:arm64 <none> 10-20200411-0ubuntu1
2022-08-29 16:05:42 status half-installed gcc-10-base:arm64 10-20200411-0ubuntu1
2022-08-29 16:05:42 status unpacked gcc-10-base:arm64 10-20200411-0ubuntu1
2022-08-29 16:05:42 install grep:arm64 <none> 3.4-1
2022-08-29 16:05:42 status half-installed grep:arm64 3.4-1
2022-08-29 16:05:42 status unpacked grep:arm64 3.4-1
2022-08-29 16:05:42 install gzip:arm64 <none> 1.10-0ubuntu4
2022-08-29 16:05:42 status half-installed gzip:arm64 1.10-0ubuntu4
2022-08-29 16:05:42 status unpacked gzip:arm64 1.10-0ubuntu4
2022-08-29 16:05:43 install hostname:arm64 <none> 3.23
2022-08-29 16:05:43 status half-installed hostname:arm64 3.23
2022-08-29 16:05:43 status unpacked hostname:arm64 3.23
2022-08-29 16:05:43 install init-system-helpers:all <none> 1.57
2022-08-29 16:05:43 status half-installed init-system-helpers:all 1.57
2022-08-29 16:05:43 status unpacked init-system-helpers:all 1.57
2022-08-29 16:05:43 install libacl1:arm64 <none> 2.2.53-6
2022-08-29 16:05:43 status half-installed libacl1:arm64 2.2.53-6
2022-08-29 16:05:43 status unpacked libacl1:arm64 2.2.53-6
2022-08-29 16:05:43 install libattr1:arm64 <none> 1:2.4.48-5
2022-08-29 16:05:43 status half-installed libattr1:arm64 1:2.4.48-5
2022-08-29 16:05:43 status unpacked libattr1:arm64 1:2.4.48-5
2022-08-29 16:05:43 install libaudit-common:all <none> 1:2.8.5-2ubuntu6
2022-08-29 16:05:43 status half-installed libaudit-common:all 1:2.8.5-2ubuntu6
2022-08-29 16:05:43 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2022-08-29 16:05:43 install libaudit1:arm64 <none> 1:2.8.5-2ubuntu6
2022-08-29 16:05:43 status half-installed libaudit1:arm64 1:2.8.5-2ubuntu6
2022-08-29 16:05:43 status unpacked libaudit1:arm64 1:2.8.5-2ubuntu6
2022-08-29 16:05:43 install libblkid1:arm64 <none> 2.34-0.1ubuntu9
2022-08-29 16:05:43 status half-installed libblkid1:arm64 2.34-0.1ubuntu9
2022-08-29 16:05:43 status unpacked libblkid1:arm64 2.34-0.1ubuntu9
2022-08-29 16:05:43 install libbz2-1.0:arm64 <none> 1.0.8-2
2022-08-29 16:05:43 status half-installed libbz2-1.0:arm64 1.0.8-2
2022-08-29 16:05:43 status unpacked libbz2-1.0:arm64 1.0.8-2
2022-08-29 16:05:43 install libc-bin:arm64 <none> 2.31-0ubuntu9
2022-08-29 16:05:43 status half-installed libc-bin:arm64 2.31-0ubuntu9
2022-08-29 16:05:43 status unpacked libc-bin:arm64 2.31-0ubuntu9
2022-08-29 16:05:43 upgrade libc6:arm64 2.31-0ubuntu9 2.31-0ubuntu9
2022-08-29 16:05:43 status half-configured libc6:arm64 2.31-0ubuntu9
2022-08-29 16:05:43 status unpacked libc6:arm64 2.31-0ubuntu9
2022-08-29 16:05:43 status half-installed libc6:arm64 2.31-0ubuntu9
2022-08-29 16:05:43 status unpacked libc6:arm64 2.31-0ubuntu9
2022-08-29 16:05:44 install libcap-ng0:arm64 <none> 0.7.9-2.1build1
2022-08-29 16:05:44 status half-installed libcap-ng0:arm64 0.7.9-2.1build1
2022-08-29 16:05:44 status unpacked libcap-ng0:arm64 0.7.9-2.1build1
2022-08-29 16:05:44 install libcom-err2:arm64 <none> 1.45.5-2ubuntu1
2022-08-29 16:05:44 status half-installed libcom-err2:arm64 1.45.5-2ubuntu1
